"DATASET","SERIES_CODE","OBS_MEASURE","COUNTRY.ID","COUNTRY","INDICATOR.ID","INDICATOR","ENERGY_SOURCE.ID","ENERGY_SOURCE","FREQUENCY.ID","FREQUENCY","2017","2018","2019","2020","2021","2022","2023"
"IMF.STA:RE(2.0.1)","U002.EG_GWH.FOSSILFUELS.A","OBS_VALUE","U002","Africa","EG_GWH","Electricity Generation, Gigawatt hours","FOSSILFUELS","Fossil fuels","A","Annual","625304.5649","637949.297","650540.6486","622666.9946","641533.397","677716.363","0"
"IMF.STA:RE(2.0.1)","ABW.EIC_MW.FOSSILFUELS.A","OBS_VALUE","ABW","Aruba, Kingdom of the Netherlands","EIC_MW","Electricity Installed Capacity, Megawatt","FOSSILFUELS","Fossil fuels","A","Annual","251.2","248.88","257.88","257.88","257.88","216","216"
"IMF.STA:RE(2.0.1)","AND.EG_GWH.FOSSILFUELS.A","OBS_VALUE","AND","Andorra, Principality of","EG_GWH","Electricity Generation, Gigawatt hours","FOSSILFUELS","Fossil fuels","A","Annual","4.231","5.072","5.576","3.817","6.993","5.531",""
"IMF.STA:RE(2.0.1)","DZA.EG_GWH.SOLARENERGY.A","OBS_VALUE","DZA","Algeria","EG_GWH","Electricity Generation, Gigawatt hours","SOLARENERGY","Solar energy","A","Annual","426","687.664","711.045","816.11","793.11","835.11",""
"IMF.STA:RE(2.0.1)","AUS.EIC_MW.SOLARENERGY.A","OBS_VALUE","AUS","Australia","EIC_MW","Electricity Installed Capacity, Megawatt","SOLARENERGY","Solar energy","A","Annual","7242","11128","15453","19772","24396","28887","32612"
"IMF.STA:RE(2.0.1)","G110.EIC_MW.WINDENERGY.A","OBS_VALUE","G110","Advanced Economies","EIC_MW","Electricity Installed Capacity, Megawatt","WINDENERGY","Wind energy","A","Annual","242763.809","261837.046","284702.772","312490.978","338841.791","366597.875","390964.43"
"IMF.STA:RE(2.0.1)","AIA.EIC_MW.FOSSILFUELS.A","OBS_VALUE","AIA","Anguilla, United Kingdom-British Overseas Territory","EIC_MW","Electricity Installed Capacity, Megawatt","FOSSILFUELS","Fossil fuels","A","Annual","27.117","23.8","23.8","23.8","23.8","23.8","23.8"
"IMF.STA:RE(2.0.1)","U142.EG_GWH.BIOENERGY.A","OBS_VALUE","U142","Asia","EG_GWH","Electricity Generation, Gigawatt hours","BIOENERGY","Bioenergy","A","Annual","143434.999","161100.796","186552.903","204465.701","238663.731","265076.236","0"
"IMF.STA:RE(2.0.1)","ALB.EIC_MW.HYDROPOWER.A","OBS_VALUE","ALB","Albania","EIC_MW","Electricity Installed Capacity, Megawatt","HYDROPOWER","Hydropower (excl. Pumped Storage)","A","Annual","2047","2105","2162","2387","2507","2493","2493"
"IMF.STA:RE(2.0.1)","U142.EIC_MW.BIOENERGY.A","OBS_VALUE","U142","Asia","EIC_MW","Electricity Installed Capacity, Megawatt","BIOENERGY","Bioenergy","A","Annual","33793.78","37762.952","42869.737","49909.276","56333.257","60752.208","64235.308"
"IMF.STA:RE(2.0.1)","AND.EIC_MW.HYDROPOWER.A","OBS_VALUE","AND","Andorra, Principality of","EIC_MW","Electricity Installed Capacity, Megawatt","HYDROPOWER","Hydropower (excl. Pumped Storage)","A","Annual","46","46","46","46","46","46","46"
"IMF.STA:RE(2.0.1)","AFG.EIC_MW.SOLARENERGY.A","OBS_VALUE","AFG","Afghanistan, Islamic Republic of","EIC_MW","Electricity Installed Capacity, Megawatt","SOLARENERGY","Solar energy","A","Annual","22.341","22.116","31.631","31.053","31.226","33.243","33.243"
